===========Exp result of `RMSE-Report`============

 |     Method & K |      5 |     10 |     15 |     20 |     25 |     30 |     35 |     40 |     45 |     50 |     55 |     60 |     65 |     70 |     75 |     80 |     85 |     90 |     95 |    100 |    120 |    150 |    175 |    200 |    250 |
 |       User-cos | 0.9929 | 0.9646 | 0.9547 | 0.9508 | 0.9497 | 0.9492 | 0.9489 | 0.9490 | 0.9488 | 0.9490 | 0.9492 | 0.9498 | 0.9505 | 0.9511 | 0.9518 | 0.9522 | 0.9526 | 0.9528 | 0.9532 | 0.9536 | 0.9548 | 0.9565 | 0.9573 | 0.9579 | 0.9586 |
 |       User-pcc | 0.9994 | 0.9677 | 0.9587 | 0.9534 | 0.9517 | 0.9520 | 0.9517 | 0.9520 | 0.9521 | 0.9522 | 0.9528 | 0.9531 | 0.9538 | 0.9541 | 0.9546 | 0.9550 | 0.9554 | 0.9558 | 0.9564 | 0.9567 | 0.9579 | 0.9595 | 0.9604 | 0.9609 | 0.9615 |
 |   User-jaccard | 0.9994 | 0.9689 | 0.9589 | 0.9540 | 0.9520 | 0.9516 | 0.9515 | 0.9511 | 0.9515 | 0.9517 | 0.9523 | 0.9527 | 0.9532 | 0.9536 | 0.9540 | 0.9545 | 0.9549 | 0.9551 | 0.9555 | 0.9558 | 0.9570 | 0.9582 | 0.9589 | 0.9593 | 0.9599 |
 |       User-msd | 1.0238 | 0.9837 | 0.9715 | 0.9650 | 0.9620 | 0.9598 | 0.9588 | 0.9581 | 0.9579 | 0.9574 | 0.9573 | 0.9574 | 0.9578 | 0.9580 | 0.9581 | 0.9584 | 0.9587 | 0.9590 | 0.9592 | 0.9595 | 0.9604 | 0.9617 | 0.9628 | 0.9635 | 0.9644 |
 |       Item-cos | 0.9611 | 0.9355 | 0.9309 | 0.9305 | 0.9313 | 0.9322 | 0.9333 | 0.9343 | 0.9354 | 0.9366 | 0.9377 | 0.9387 | 0.9394 | 0.9400 | 0.9408 | 0.9414 | 0.9421 | 0.9427 | 0.9432 | 0.9439 | 0.9453 | 0.9468 | 0.9476 | 0.9483 | 0.9490 |
 |       Item-msd | 1.0274 | 0.9870 | 0.9725 | 0.9648 | 0.9604 | 0.9582 | 0.9567 | 0.9562 | 0.9555 | 0.9550 | 0.9550 | 0.9550 | 0.9548 | 0.9548 | 0.9552 | 0.9553 | 0.9558 | 0.9559 | 0.9564 | 0.9566 | 0.9576 | 0.9592 | 0.9601 | 0.9607 | 0.9616 |

============Exp result of `MAE-Report`============

 |     Method & K |      5 |     10 |     15 |     20 |     25 |     30 |     35 |     40 |     45 |     50 |     55 |     60 |     65 |     70 |     75 |     80 |     85 |     90 |     95 |    100 |    120 |    150 |    175 |    200 |    250 |
 |       User-cos | 0.7766 | 0.7533 | 0.7460 | 0.7437 | 0.7424 | 0.7423 | 0.7419 | 0.7418 | 0.7420 | 0.7423 | 0.7426 | 0.7432 | 0.7439 | 0.7443 | 0.7450 | 0.7455 | 0.7460 | 0.7462 | 0.7466 | 0.7471 | 0.7485 | 0.7503 | 0.7513 | 0.7521 | 0.7529 |
 |       User-pcc | 0.7801 | 0.7547 | 0.7478 | 0.7432 | 0.7415 | 0.7423 | 0.7421 | 0.7422 | 0.7424 | 0.7426 | 0.7431 | 0.7435 | 0.7440 | 0.7442 | 0.7447 | 0.7450 | 0.7454 | 0.7459 | 0.7464 | 0.7467 | 0.7479 | 0.7496 | 0.7505 | 0.7511 | 0.7518 |
 |   User-jaccard | 0.7839 | 0.7600 | 0.7510 | 0.7475 | 0.7455 | 0.7452 | 0.7456 | 0.7453 | 0.7457 | 0.7459 | 0.7463 | 0.7467 | 0.7472 | 0.7476 | 0.7481 | 0.7486 | 0.7490 | 0.7492 | 0.7495 | 0.7498 | 0.7510 | 0.7522 | 0.7529 | 0.7533 | 0.7541 |
 |       User-msd | 0.8102 | 0.7769 | 0.7674 | 0.7616 | 0.7588 | 0.7569 | 0.7557 | 0.7552 | 0.7547 | 0.7541 | 0.7540 | 0.7541 | 0.7545 | 0.7547 | 0.7548 | 0.7549 | 0.7550 | 0.7552 | 0.7553 | 0.7555 | 0.7561 | 0.7569 | 0.7577 | 0.7582 | 0.7590 |
 |       Item-cos | 0.7456 | 0.7290 | 0.7257 | 0.7262 | 0.7264 | 0.7276 | 0.7286 | 0.7297 | 0.7309 | 0.7319 | 0.7330 | 0.7338 | 0.7346 | 0.7352 | 0.7359 | 0.7365 | 0.7371 | 0.7377 | 0.7383 | 0.7389 | 0.7403 | 0.7419 | 0.7427 | 0.7433 | 0.7440 |
 |       Item-msd | 0.8031 | 0.7718 | 0.7604 | 0.7541 | 0.7504 | 0.7489 | 0.7477 | 0.7472 | 0.7464 | 0.7460 | 0.7462 | 0.7464 | 0.7465 | 0.7468 | 0.7471 | 0.7471 | 0.7475 | 0.7477 | 0.7481 | 0.7482 | 0.7494 | 0.7511 | 0.7520 | 0.7529 | 0.7539 |
